station_id,station_name,sta_lng,sta_lat
1,蔡甸区站,114.030127,30.591219
2,沉湖七壕,113.85759,30.348729
3,城区,114.320105,30.561885
4,东湖梨园,114.381631,30.580162
5,东西湖区站,114.170502,30.668227
6,沌口新区,114.131583,30.484189
7,汉口花桥,114.288311,30.6277
8,汉口江滩,114.322976,30.613118
9,汉南区站,114.086905,30.317268
10,汉阳月湖,114.255253,30.571689
11,洪山地大,114.407835,30.526797
12,黄陂区站,114.375833,30.876527
13,化工区站,114.546448,30.633816
14,江汉红领巾,114.249971,30.640325
15,江汉南片区站,114.290161,30.576981
16,江夏区站,114.323497,30.350039
17,民族大道182号,114.399539,30.494332
18,硚口古田,114.209592,30.607734
19,青山钢花,114.443924,30.613903
20,吴家山,114.143351,30.628518
21,武昌紫阳,114.311676,30.539638
22,新洲区站,114.800727,30.841805