year,month,season,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_avg
2022,1,1,84.85520974,68.43287671,106.7021563,109.5533981,90.578019,102.0121951,100.1100279,114.2744565,81.78108108,95.28454172,82.84217687,116.1659919,92.46811398,95.19346049,88.00973574,102.3136986,98.478738,113.5694823,103.8232877,114.3156463,78.90659341,96.42625169,97.0953245
2022,2,1,62.58610272,45.5,71.83333333,70.03374233,61.76785714,74.25382263,68.77016743,78.6554878,58.98355755,60.6429652,60.19171779,77.45074627,64.66416792,69.91441441,61.75344564,63.09145427,67.07014925,77.31316188,67.71908397,76.21987952,61.53695324,69.28378378,66.78345428
2022,3,2,44.14870396,36.6612426,47.91069012,49.00137931,47.33695652,50.65807327,49.87052342,47.69073569,39.1614654,40.65122616,45.74281806,52.40054496,51.67262724,46.54768392,53.43741403,46.01355014,52.68979592,55.44121715,47.39614856,43.54065041,45.9476584,47.21787709,47.3244992
2022,4,2,33.83798883,29.58273381,41.94993046,47.48211731,41.27692308,42.38300836,42.85492958,41.36680614,31.68495077,34.46787709,40.38041958,49.27363897,41.41596639,41.49578652,40.34084507,39.73779637,43.02941176,49.86158192,41.21720733,37.25837989,33.08100559,39.10098177,40.14001303
2022,5,2,38.68898187,31.31710709,45.14166667,46.28349788,45.02244039,44.17015342,47.39432624,44,39.56189152,39.98307475,48.03894298,51.72878999,43.30629371,48.58906031,45.55413105,42.73259053,46.20027816,53.5077574,45.05974395,41.21297602,35.17361111,39.875,43.75192341
2022,6,3,19.21769663,20.11601307,26.18767507,25.27920228,22.95774648,30.27042254,27.46676301,27.50141243,16.77414773,18.5907781,18.57142857,31.33146067,27.22331461,32.63291139,25.37980085,24.30379747,26.90985915,33.67201166,25.07977208,24.11814346,16.39014085,22.32208158,24.64984453
2022,7,3,14.97435897,16.88921713,21.61911765,20.27380952,15.78106509,25.98522895,22.28826152,20.87518574,17.24556213,16.78247261,12.08431953,24.13589365,22.58849558,27.41839763,23.16863905,21.12158055,19.53937593,27.57164179,22.13777778,18.45790251,15.34904271,14.36458333,20.02963315
2022,8,3,18.50896552,13.92112676,24.33695652,21.70833333,18.50137741,27.64305177,26.16827586,23.97368421,19.05313351,18.48626374,17.06675749,26.64168937,24.33378747,29.33105335,24.57322176,24.99724518,21.22727273,31.70054945,22.48675035,20.37209302,18.9373297,19.32650273,22.42251915
2022,9,4,37.80422535,32.76452599,38.55399719,37.93049645,35.49577465,43.97046414,36.64416315,37.76628895,38.19519095,34.49719101,34.14285714,41.56460674,37.18653576,43.30898876,38.97749648,37,38.5161744,45.19285714,38.26984127,34.91830986,35.78401122,31.0238764,37.70490332
2022,10,4,36.49864499,33.88738128,39.25268817,38.79375848,36.89771198,41.77732794,35.12414734,38.80617978,40.20995962,39.63896458,33.39112903,40.1972973,36.45013477,43.84677419,40.35945946,36.6458616,39.46008119,44.13679891,39.97411444,36.08344549,35.6155914,32.72086721,38.17128723
2022,11,4,41.93900709,34.72167832,46.15,45.74614306,44.03337969,45.57622378,43.91595442,41.65571429,44.74547983,50.72765957,36.72245467,47.1024531,42.61227336,50.34309623,40.86134454,40.08848315,48.19107392,56.58956276,49.26598837,41.08683473,36.97191011,40.84518828,44.0859956
2022,12,1,69.68157182,55.8442623,84.78494624,81.81395349,74.5560054,74.05737705,77.91711957,85.03678474,68.00943396,85.65535957,65.13918919,81.90921409,72.00269906,80.32608696,70.21322537,92.7275242,79.94331984,84.77991747,82.57780785,85.20810811,68.00404313,74.1097561,77.01353207
2023,1,1,103.2478632,80.92896175,107.4495289,103.6662144,105.7918919,97.187017,103.9210884,102.8905405,91.41835358,109.7366255,82.87837838,100.5155616,96.16891892,101.3635135,89.59646739,109.2929155,101.2712551,112.3010899,109.8802721,107.6351351,91.21967655,105.5203252,100.6309816
2023,2,1,66.54229607,48.40717629,77.05429864,75.79569892,69.29475309,77.82628399,70.16257669,73.83053435,64.60698027,79.91540785,58.3429003,73.95468278,64.63939394,71.4522003,61.56621005,81.98320611,69.3141994,79.46839546,73.59056317,79.75830816,59.90229008,68.28290469,70.25869366
2023,3,2,55.83983849,41.80458221,65.3077957,62.92653061,59.22961957,65.84097035,62.38911565,59.38387978,55.30458221,68.80189959,50.87079408,68.02968961,61.7115903,67.25447043,52.6437247,62.11366712,65.94444444,76.81893004,61.92016238,65.825,55.66937669,65.14555256,61.39891893
2023,4,2,38.05367232,36.16877637,47.13268156,44.62800566,41.98461538,51.34647887,44.27311522,45.37393768,41.78591549,42.80686695,39.17622378,49.2342216,47.24929972,53.12624113,43.61204482,44.35684062,48.45505618,57.78705036,41.22746781,46.61516854,41.40392707,45.85875706,45.07528928
2023,5,2,32.0261348,29.31690141,39.0246238,35.8933518,34.56986301,41.10150892,40.21892655,38.22873082,35.40766074,35.09752747,32.59178082,41.04979253,37.24038462,43.81805746,39.8349381,39.84113475,37.9478022,49.00696379,32.97461213,38.69735007,36.61950549,32.79178082,37.42269691
2023,6,3,27.02797203,22.4301676,31.63636364,28.40735502,27.46563815,32.89060309,33.65960452,30.395218,28.92034139,26.17812062,26.08403361,34.76470588,31.19467787,37.92696629,30.16478873,31.68481375,32.61009818,39.73863636,30.39531479,28.36414566,29.86816269,27.77478754,30.43556888
2023,7,3,18.34254144,16.37756498,20.84656797,19.60465116,15.01884253,24.47082768,22.16186557,19.9673913,18.17741935,14.99862448,16.75405405,22.86369771,20.79268293,24.66986301,21.40460081,22.08843537,21.73315364,26.57318741,19.79195562,18.23265306,19.53494624,20.24086604,20.21119965
2023,8,3,29.11232877,26.47879617,31.77154583,30.78482759,25.55205479,37.78541953,32.72144847,29.35408022,31.94657534,25.81881051,25.98071625,30.86164384,29.83264746,34.69357045,33.9739369,33.0631136,30.63724138,36.2943662,30.06397775,28.65337001,28.52374101,27.03013699,30.49701587
2023,9,4,24.5,21.77638889,27.5875,24.05299861,24.49235049,32.66106443,29.51544944,24.7877095,29.08786611,23.58461538,24.91376912,30.0069735,26.25941423,29.76056338,32.22531293,30.07909605,28.1625,34.15104895,25.83098592,24.33888889,23.96100279,25.05849582,27.12699975
2023,10,4,51.38037634,39.90174966,58.75268817,60.20272109,51.9851552,57.52759085,62.29115646,48.75880759,57.72177419,60.90700809,50.59109312,62.20945946,54.69365722,58.8102288,60.42722372,55.90785908,58.04312668,72.60606061,60.03683492,49.35453315,51.93951613,53.70189702,56.26138716
2023,11,4,46.53212291,40.12430168,57.41029207,54.59914408,48.1103352,58.59135286,61.25492958,48.75626741,51.36908078,57.68696884,47.72510519,57.10806916,51.75766017,54.47632312,53.53481894,54.12642045,54.43356643,68.91354467,58.81534091,53.16620112,46.10306407,51.14804469,53.44286156
2023,12,1,62.49442897,46.63838665,82.17385257,79.60669456,66.05849582,85.13006993,79.34129213,72.50209205,66.03616134,82.28531469,64.67224547,77.46368715,66.68302945,72.73500697,70.83008357,90.26676177,71.07252441,89.24893918,81.27298851,81.59574468,66.38493724,71.0821727,73.88976863
